################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
       183        183   1.00179579E+02   3.29102030E-03   1.02084754E-19   6.48809763E-03   6.17006142E-06   1.03938655E+00
       184        184   1.00178728E+02   3.33993068E-03   1.02817790E-19   7.43423877E-03   5.92584225E-06   1.03938655E+00
       185        185   1.00177914E+02   3.39259119E-03   1.04083930E-19   7.64223682E-03   5.69128959E-06   1.03938655E+00
       186        186   1.00177169E+02   3.43896899E-03   1.04882606E-19   7.11138200E-03   5.46602083E-06   1.03938655E+00
       187        187   1.00176475E+02   3.47998692E-03   1.04803315E-19   6.67783116E-03   5.24966851E-06   1.03938655E+00
       188        188   1.00175823E+02   3.51898493E-03   1.06518325E-19   6.49678247E-03   5.04187970E-06   1.03938655E+00
       189        189   1.00175198E+02   3.56070961E-03   1.06715506E-19   6.71011844E-03   4.84231544E-06   1.03938655E+00
       190        190   1.00174588E+02   3.60097610E-03   1.07188723E-19   6.58967857E-03   4.65065020E-06   1.03938655E+00
       191        191   1.00169992E+02   3.69727750E-03   1.13497995E-19   1.97116068E-02   4.46657133E-06   1.03938655E+00
       192        192   1.00169340E+02   3.72175247E-03   1.14924491E-19   7.47720964E-03   4.28977854E-06   1.03938655E+00
       193        193   1.00168653E+02   3.75177743E-03   1.16113456E-19   7.61427341E-03   4.11998344E-06   1.03938655E+00
       194        194   1.00168037E+02   3.77967832E-03   1.16465471E-19   6.45668069E-03   3.95690906E-06   1.03938655E+00
       195        195   1.00167457E+02   3.80692139E-03   1.16648231E-19   6.31118843E-03   3.80028937E-06   1.03938655E+00
       196        196   1.00166930E+02   3.82596235E-03   1.17857351E-19   5.20791582E-03   3.64986890E-06   1.03938655E+00
       197        197   1.00166393E+02   3.85227366E-03   1.18268466E-19   6.17267459E-03   3.50540227E-06   1.03938655E+00
       198        198   1.00166098E+02   3.86316542E-03   1.19897364E-19   4.09298573E-03   3.36665382E-06   1.03938655E+00
       199        199   1.00165608E+02   3.88738233E-03   1.20137592E-19   5.77271830E-03   3.23339722E-06   1.03938655E+00
       200        200   1.00165118E+02   3.91280272E-03   1.20646512E-19   5.92814197E-03   3.10541509E-06   1.03938655E+00
       201        201   1.00164670E+02   3.93693274E-03   1.21914176E-19   5.60126595E-03   2.98249866E-06   1.03938655E+00
